Patrick Wanis	Superb video Kevens Well done Stirring introspective and inspirational
Bih Akuma	I needed this today the eve of the mid term
Susan Snyder	This is so inspiring and a great reminder of what is special about our country Beautiful
Cathy Hrusa	Love this my friend ✌🏳️‍🌈🇺🇸
Sideways Kim Jong Un	0 05 The simulation is broken
Meagan Levitt	I loved this song very much
Sentimental Lady	Kevens you wrote one of the most phenomenal love song to America The image in your video tugged at my heart and brought tear to my eye We believe in America that we hope and pray for Thank you for sharing it with me and the World And by the way I did share it on Twitter and on Facebook Bravo Sir what a phenomenal fantastic amazing awesome job you did with the lyric and the visual art you made Love AKA Squirrel Girl
sarah ogden	Love this song I saw it on Twitter and gave it a listen I ve listened to it at least 15 time in the last hour and a half Total steal at 1 29 on Amazon
Paulette Spigiel	Beautiful song kevens 💙Your voice the music and the video touched my hearth Im an immigrant a proud and thankful American Land that opened it door give u opportunity and protect u with love Tears of joy for what this country is and ha to keep being We will not anyone destroy it Having the privilege and honor to vote I will color democracy with blue to save it I 💙 America too
Tina Marie F	This is the real America there is more good than evil more kindness and love than hate WE MUST SEND A CLEAR MESSAGE TO THE RACIST IN THE WH WE DO NOT ACCEPT BIGOTRY YOUR TIME IS FINISHED VOTE BLUE TO SAVE AMERICA THANK YOU KEVENS I LOVE THIS VIDEO IT S BEAUTIFUL YOU HAVE GIVEN ME HOPE WE ALL NEED HOPE AND PRAYERS
Patrick Marshall	Love this video and song brought me to tear
Rhonnie Originals	BEAUTIFUL My heart needed this Kevens
Melissa H	Powerful Inspiring music video that focus on what make our Country so great it s diverse compassionate people We are in dark time now but we will prevail and the light will shine from Sweet Lady Liberty again
Kristi Lalan	Absolutely Beautiful This is the America we love And we have to fight to get back Thank you Kevens
Skip Acuff	Kēvens ha applied his gift to the question whether Blue Wave voter are patriot I submit that Kēvens ’ video music and lyric say YES It ’ s a shot in the arm for you and a head exploder to every soul and spirit who ha been irredeemably lost to Trumpism and it enablers and ally here and abroad For those who ask “ irredeemably lost ” those who still identify their personal interest with Trump and the GOP despite or because of the event and disclosure of the Kavanaugh nomination hearing led by the oldest hardline misogynist outside of Saudi Arabia Trump ’ s relentlessly cruel persecution of folk seeking asylum from unspeakable horror in their native land the Khashoggi murder and Trump ’ s handling of the aftermath and the GOP ’ s unprecedented still ongoing avalanche of lie soaked propaganda during the campaign for the November 6 2018 midterm election Friends unless we prevail and preserve the patriotism depicted in Kēvens video America will for the foreseeable future lose it pre Trump reputation still not fully earned a the land of the free home of the brave of truth justice and the American Dream The WH ’ s recent statement that the Saudis ’ version of the Khashoggi murder i e that he brought fist to a bone saw fight is credible ha earned u the contempt of rational democracy minded people throughout the world Let ’ s show the world that the Trump fiasco is a fluke that we ’ re so much better than that and that the majority of u want preserve the uniquely American aspiration displayed in Kēvens ’ song and poignant imagery PLEASE send “ Sweet Lady Liberty ” to everyone in your social network and urge them to do the same ad infinitum Believe a veteran protester of the Viet Nam war during the late 60 and early 70 protest music doe reach and motivate people to act This too is part of our American heritage
Lloyd Brodnax	Very inspirational and uplifting song about what ha made our Nation so enduring and welcoming
Paul Bray	This set up why we are who we are We are all part of the human experience Love your neighbor No one hate until their shown hate
Laura Hickey	Beautiful Very powerful
Paula Pollock	This song really warmed my heart and took me back to a happier time in our country It wa a bright star in a dark night
Kathy Rangel	I m so inspired by kevens beautiful video and the word perfect timing in these day Loving the reggae vibe too ❤
Citizens Fed Up	I really like this shared it on Twitter http twitter com CitizensFedUp status 1051856934301765634
Jenny Ross	Beautiful
bonnie werth	Very powerful especially now Thanks for sharing to me on Twitter
Sherri Benn	Love this song It s truly inspiring Patriotic and inclusive
K D	This is heartbreaking inspiring frightening and lovely Thanks you Kevens 3
Jessica AKA Ciquah	This is so well done it made me tear up because of how sad I feel about the state of America right now THIS is what our country is supposed to be about
Shelli RK	This This is the America I love We ve gone down a dark path and we need our great hearted loving brother and sister who understand the value that bring neighbor and stranger together to be better people to vote We may not always see who will be best to lead u but when we glaringly see who is definitely wrong for u we have to take action to keep them out of Office Red and blue alike
Jasmine Mayo	Nice song
Tabatha Hagan	Beautiful song Speaks volume
Charlene Elizabeth Jones	Thank you for a fantastic song about our country the way I want it to be and pray it will be again some day
Linnie Lou  Heretoo	Beautiful song thanks
JoAnne Weiss	Powerful Every resident of these united state should listen to this and think upon it❤️❤️
Audley Harrison MBE	Wicked tune Kevens big up very important message for the time we ’ re are living in 🙌🏾
Joyce Brownell	“ Sweet Lady Liberty ” is absolutely beautiful The video is amazing WOW
dodsonk2	I absolutely love this song So beautiful powerful We need to come together all the time not just during a disaster
Barbara Smyth	This is the most heart wrenching beautiful video I ’ ve seen in a very long time Substance and feeling it provokes are amazing Wish everyone would watch it LadyLiberty
M C	This song and the image together are a beautiful poignant testament to both the beauty and ugliness of what America idealism is
